,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,0.0,0.0,0.0,0.0,0.0,0.06831241,0.71262294,11.042424,12.93845,35.751453,226.77618,36.14262,31.0077,20.29841,12.690724
1,0.0,0.06774507,0.6291706,0.35742763,0.23653086,0.31949103,13.726372,21.662073,32.988438,37.490658,73.321495,183.45146,23.507135,6.9885573,4.4675484
2,0.0,0.11985701,1.0339607,0.8935737,0.94094133,11.01052,8.402023,32.86034,38.66309,33.263844,14.434555,192.62305,36.46819,1.1855688,0.20350106
3,0.0,0.12611794,0.6363583,1.144981,2.7357576,37.95853,18.616167,6.7940984,10.000122,7.6349907,12.624291,194.4319,7.3699718,0.117179416,0.021530943
4,0.0,0.0,0.0,0.050450906,0.20147483,2.4810145,1.5997,5.357078,6.121701,24.855593,22.142784,112.14737,3.771041,0.04430521,0.0
5,0.0,0.0,0.13184799,0.93261343,1.2809771,9.751319,34.167595,16.269258,8.17254,144.16158,20.172117,28.178816,5.3111334,0.025299245,
6,0.030301956,0.94652814,1.8139547,1.5904027,19.125177,19.473799,39.782063,31.509195,21.10108,17.822098,17.092985,9.638764,0.08207726,0.0,
7,0.50813,2.1211636,13.159884,9.73792,22.08007,39.4444,37.15264,34.378063,18.593765,23.277658,42.077915,2.4023612,0.096939884,0.036110286,0.0
8,4.4544315,7.0016065,29.153524,35.93693,37.971687,32.80304,32.941406,18.915638,8.917386,12.18356,0.860276,0.17848057,0.13146894,0.16345106,0.058555827
9,16.439632,22.839666,31.910147,36.935696,39.079113,31.038406,24.750923,61.92334,9.0563755,0.59333724,0.028926976,0.018208358,0.027160851,0.04349251,0.17538019
10,35.84198,45.041718,38.20624,34.71129,6.2810287,10.4827795,70.05021,13.614753,5.3933797,0.04777129,0.0,0.0,0.027637826,0.13258758,0.9877112
